"","sample","MDS_D1","MDS_D2","cluster","patient"
"1","15664_1.sorted_H0_2",0.00159016892197089,0.0200781416156762,"5","15664"
"2","15664_1.sorted_H1_2",0.00220381699489911,0.0220030285090043,"5","15664"
"3","15664_1.sorted_H2_2",0.00196609222544498,0.016247730201579,"5","15664"
"4","15664_2.sorted_H0_2",0.003389907007076,0.0195256937028882,"5","15664"
"5","15664_2.sorted_H1_2",0.00438654449159553,0.0179680535049673,"5","15664"
"6","15664_2.sorted_H2_2",0.00172356298077083,0.0189411799451358,"5","15664"
"7","15664_2.sorted_H3_2",0.00319990616482945,0.0197845405851832,"5","15664"
"8","15664_3.sorted_H0_2",0.00491116644914791,0.0190041644539417,"5","15664"
"9","15664_3.sorted_H1_2",0.0044276714823644,0.018090550485502,"5","15664"
"10","15664_3.sorted_H2_2",0.00326480613514834,0.019399811364784,"5","15664"
"11","15664_3.sorted_H3_2",0.00167511321759571,0.020514784391602,"5","15664"
"12","15664_4.sorted_H0_2",0.00439599413305971,0.0170531562647395,"5","15664"
"13","15664_4.sorted_H1_2",0.00209233497152099,0.0150309839550174,"5","15664"
"14","15664_4.sorted_H2_2",0.00307491321367328,0.0141970981380721,"5","15664"
"15","15664_5.sorted_H0_2",0.00451454688404881,0.0194974652812076,"5","15664"
"16","15664_5.sorted_H1_2",0.00165971022394522,0.0173393080684086,"5","15664"
"17","15664_5.sorted_H2_2",0.00370904155449193,0.0202150213076651,"5","15664"
"18","15664_5.sorted_H3_2",0.00226032340906225,0.0193657835127295,"5","15664"
"19","15664_6.sorted_H0_1",0.00449358434898726,0.0201609111529702,"5","15664"
"20","15664_6.sorted_H1_1",0.00491739733774005,0.018520242740718,"5","15664"
"21","15664_6.sorted_H2_1",0.00293500219371879,0.0192029659459252,"5","15664"
"22","15664_6.sorted_H3_1",0.00336783368395947,0.019114223919998,"5","15664"
"23","16207_1.sorted_H0_2",0.0275506886865261,0.0226493883773375,"1","16207"
"24","16207_1.sorted_H1_2",0.0278403094827394,0.0264847374930774,"1","16207"
"25","16207_1.sorted_H2_2",0.0267756149389205,0.02432204949741,"1","16207"
"26","16207_1.sorted_H3_2",0.0221326420809423,0.0171366173470496,"1","16207"
"27","16207_2.sorted_H0_1",0.0285955683251489,0.0245727881349373,"1","16207"
"28","16207_2.sorted_H1_1",0.0282265244940667,0.0259235552616663,"1","16207"
"29","16207_2.sorted_H2_1",0.0265916785104823,0.0234724780235055,"1","16207"
"30","16207_2.sorted_H3_1",0.0182208783171436,0.0180398791039225,"1","16207"
"31","16207_3.sorted_H0_2",0.0262184571867609,0.0219633724427898,"1","16207"
"32","16207_3.sorted_H1_2",0.0285222800640528,0.0265815608838899,"1","16207"
"33","16207_3.sorted_H2_2",0.0266527906483478,0.0238015671240184,"1","16207"
"34","16207_3.sorted_H3_2",0.0173937939691246,0.0179036297664551,"1","16207"
"35","16207_4.sorted_H0_1",0.027859212469451,0.0237108252581082,"1","16207"
"36","16207_4.sorted_H1_1",0.0291603310680698,0.0253688580197669,"1","16207"
"37","16207_4.sorted_H2_1",0.0268113976424564,0.0232866700408894,"1","16207"
"38","16207_4.sorted_H3_1",0.0189475594105751,0.0135236554564242,"1","16207"
"39","16207_5.sorted_H0_2",0.0270601199347918,0.0243150205568533,"1","16207"
"40","16207_5.sorted_H1_2",0.0259643902530944,0.0235650048992037,"1","16207"
"41","16207_5.sorted_H2_2",0.0258761796419281,0.0261289885834803,"1","16207"
"42","16207_6.sorted_H0_1",0.0294431217190467,0.0246263344054801,"1","16207"
"43","16207_6.sorted_H1_1",0.0284657219523043,0.0266255886340714,"1","16207"
"44","16207_6.sorted_H2_1",0.026813389957142,0.0234728013566399,"1","16207"
"45","16207_6.sorted_H3_1",0.0193081550886072,0.0195174781206344,"1","16207"
"46","22763_1.sorted_H0_2",-0.0495491735746091,-0.0107689697480097,"3","22763"
"47","22763_1.sorted_H1_2",-0.0475428090145527,-0.00954562918920032,"3","22763"
"48","22763_1.sorted_H2_2",-0.0327006278109945,-0.00780105705442773,"3","22763"
"49","22763_1.sorted_H3_2",-0.0467239647269437,-0.00876191284127121,"3","22763"
"50","22763_2.sorted_H0_1",-0.0490508889760492,-0.00951368060540528,"3","22763"
"51","22763_2.sorted_H1_1",-0.0505306144949699,-0.0110399961888415,"3","22763"
"52","22763_2.sorted_H2_1",-0.0485861981113534,-0.0100174264522743,"3","22763"
"53","22763_2.sorted_H3_1",-0.0512831577632534,-0.0103023109472056,"3","22763"
"54","22763_3.sorted_H0_2",-0.0492676181568205,-0.010358714939767,"3","22763"
"55","22763_3.sorted_H1_2",-0.0475537415975835,-0.0104495999356842,"3","22763"
"56","22763_3.sorted_H2_2",-0.0447979163729469,-0.00830939940017688,"3","22763"
"57","22763_3.sorted_H3_2",-0.0453825932093735,-0.0100428645090465,"3","22763"
"58","22763_4.sorted_H0_2",-0.0544259681392175,-0.0118594640621258,"3","22763"
"59","22763_4.sorted_H1_2",-0.052373910957705,-0.0112407114190929,"3","22763"
"60","22763_4.sorted_H2_2",-0.0497244535672293,-0.00899040160361282,"3","22763"
"61","22763_4.sorted_H3_2",-0.0514618085505423,-0.0122198169003237,"3","22763"
"62","22763_5.sorted_H0_1",-0.052013098550099,-0.0132610475411136,"3","22763"
"63","22763_5.sorted_H1_1",-0.0500214005994227,-0.0104797280726182,"3","22763"
"64","22763_5.sorted_H2_1",-0.0405006975915877,-0.006229585258922,"3","22763"
"65","22763_5.sorted_H3_1",-0.0490956764930208,-0.00956892105991685,"3","22763"
"66","22763_6.sorted_H0_1",-0.0503863201461281,-0.0113920999218861,"3","22763"
"67","22763_6.sorted_H1_1",-0.0488333598435975,-0.00947019279069192,"3","22763"
"68","22763_6.sorted_H2_1",-0.0399539734474526,-0.00741209441704083,"3","22763"
"69","22763_6.sorted_H3_1",-0.0490621347694746,-0.00916988583256265,"3","22763"
"70","22763_7.sorted_H0_2",-0.0536837157063757,-0.0115520962013124,"3","22763"
"71","22763_7.sorted_H1_2",-0.0512388722632293,-0.0112017778425187,"3","22763"
"72","22763_7.sorted_H2_2",-0.0450972171649835,-0.00794510567427286,"3","22763"
"73","22763_7.sorted_H3_2",-0.0525019535200243,-0.0120797514135084,"3","22763"
"74","22763_8.sorted_H0_2",-0.0525429480488117,-0.0125238050058865,"3","22763"
"75","22763_8.sorted_H1_2",-0.051790057313964,-0.0120202536613935,"3","22763"
"76","22763_8.sorted_H2_2",-0.0504746470697625,-0.0121415558454742,"3","22763"
"77","22763_8.sorted_H3_2",-0.0505460765030218,-0.0128069674527408,"3","22763"
"78","22828_1.sorted_H0_2",0.0011927542222449,0.0184786288786007,"5","22828"
"79","22828_1.sorted_H1_2",0.00187109246971171,0.0193667283527999,"5","22828"
"80","22828_1.sorted_H2_2",0.0012913553134338,0.0194144678829631,"5","22828"
"81","22828_2.sorted_H0_1",0.00202656020167874,0.0179699026982411,"5","22828"
"82","22828_2.sorted_H1_1",0.00139435453989016,0.0177521322888439,"5","22828"
"83","22828_2.sorted_H2_1",0.00384526989244608,0.0143156296857545,"5","22828"
"84","22828_2.sorted_H3_1",0.00220326817123567,0.0185900092457926,"5","22828"
"85","22828_3.sorted_H0_2",0.00382144292369072,0.0183252155991678,"5","22828"
"86","22828_3.sorted_H1_2",0.00569148596693741,0.0185031385940243,"5","22828"
"87","22828_3.sorted_H2_2",0.00393425554942767,0.0165306041635281,"5","22828"
"88","22828_4.sorted_H0_2",0.00326541682280083,0.0193304857827712,"5","22828"
"89","22828_4.sorted_H1_2",0.0017004369553279,0.0175029621409472,"5","22828"
"90","22828_4.sorted_H2_2",0.00470240268684718,0.0174970181366687,"5","22828"
"91","22828_4.sorted_H3_2",0.00229346603557208,0.0194165194214792,"5","22828"
"92","22828_5.sorted_H0_1",0.000839365933822023,0.0142769851709433,"5","22828"
"93","22828_5.sorted_H1_1",0.00207725747497517,0.0135342691259783,"5","22828"
"94","22828_5.sorted_H2_1",0.00239063036821005,0.0141581722595295,"5","22828"
"95","22828_5.sorted_H3_1",0.00182002460859775,0.0172996557515954,"5","22828"
"96","22828_6.sorted_H0_1",0.00279378008279621,0.0155446955643889,"5","22828"
"97","22828_6.sorted_H1_1",0.00185940419539952,0.0151069226732318,"5","22828"
"98","22828_6.sorted_H2_1",-0.0101140969717412,0.00999036665576831,"5","22828"
"99","22828_6.sorted_H3_1",0.00259851925452559,0.0143610386555027,"5","22828"
"100","26892_1.sorted_H0_1",0.0271554616403381,-0.0493751176965837,"2","26892"
"101","26892_1.sorted_H1_1",0.0215941687443894,-0.0412090177893063,"2","26892"
"102","26892_1.sorted_H2_1",0.0259956067991986,-0.0464369406547728,"2","26892"
"103","26892_1.sorted_H3_1",0.025861598919868,-0.0495314424147298,"2","26892"
"104","26892_2.sorted_H0_2",0.0256365547764702,-0.0501716830717209,"2","26892"
"105","26892_2.sorted_H1_2",0.0193404974846106,-0.0445810912033255,"2","26892"
"106","26892_2.sorted_H2_2",0.0254919541630079,-0.0489620448958008,"2","26892"
"107","26892_2.sorted_H3_2",0.0277866672076182,-0.0509133502864223,"2","26892"
"108","26892_3.sorted_H0_2",0.0248239140196184,-0.0485970890831401,"2","26892"
"109","26892_3.sorted_H1_2",0.0270674835786346,-0.0496077295600607,"2","26892"
"110","26892_3.sorted_H2_2",0.0269349627334966,-0.0485890128500265,"2","26892"
"111","26892_4.sorted_H0_1",0.0282772410655904,-0.0506331110852102,"2","26892"
"112","26892_4.sorted_H1_1",0.0242406459272023,-0.0410646324995529,"2","26892"
"113","26892_4.sorted_H2_1",0.0257110396789121,-0.0488762696602854,"2","26892"
"114","26892_4.sorted_H3_1",0.0278676418829292,-0.0514512725910122,"2","26892"
"115","26892_5.sorted_H0_1",0.0243238584420291,-0.0491108456600586,"2","26892"
"116","26892_5.sorted_H1_1",0.0116506496412065,-0.0422216380655586,"2","26892"
"117","26892_5.sorted_H2_1",0.0188611656289711,-0.0462223571343608,"2","26892"
"118","26892_5.sorted_H3_1",0.0238591710044956,-0.0484651293161396,"2","26892"
"119","26892_6.sorted_H0_2",0.0280066134809959,-0.0491600752949664,"2","26892"
"120","26892_6.sorted_H1_2",0.0243610502884014,-0.0407302591505755,"2","26892"
"121","26892_6.sorted_H2_2",0.0251469744847713,-0.0502342185994308,"2","26892"
"122","26892_6.sorted_H3_2",0.0278491469858825,-0.0506375850153123,"2","26892"
"123","26892_7.sorted_H0_1",0.0279088921898412,-0.0502895168394085,"2","26892"
"124","26892_7.sorted_H1_1",0.024514335907702,-0.044291804643624,"2","26892"
"125","26892_7.sorted_H2_1",0.0248248103315459,-0.0492349892744764,"2","26892"
"126","26892_7.sorted_H3_1",0.0275076184402991,-0.0506613917002577,"2","26892"
"127","28545_1.sorted_H0_2",0.000880601917623663,0.0159311737332763,"5","28545"
"128","28545_1.sorted_H1_2",0.000900504814341618,0.0129881594871011,"5","28545"
"129","28545_1.sorted_H2_2",0.00137765011101897,0.0150754992358685,"5","28545"
"130","28545_1.sorted_H3_2",0.000465312477613857,0.013440578818634,"5","28545"
"131","28545_2.sorted_H0_3",0.00438735329040793,0.0206634307269953,"5","28545"
"132","28545_2.sorted_H1_3",0.00423057966618601,0.0204274826705981,"5","28545"
"133","28545_3.sorted_H0_2",0.00239418232662255,0.0181410855912273,"5","28545"
"134","28545_3.sorted_H1_2",0.0020236238605806,0.017276386783249,"5","28545"
"135","28545_3.sorted_H2_2",0.00260517756575142,0.0183902542468221,"5","28545"
"136","28545_4.sorted_H0_3",0.00528195762929409,0.0156618509665034,"5","28545"
"137","28545_4.sorted_H1_3",0.00565596230362302,0.0148722512290626,"5","28545"
