"","sample","MDS_D1","MDS_D2","cluster","patient"
"1","15664_1.sorted_H0_2",0.000215579638779036,0.0200496849004282,"4","15664"
"2","15664_1.sorted_H1_2",6.51393562031083e-05,0.0222411357884607,"4","15664"
"3","15664_1.sorted_H2_2",-0.00037780250200798,0.0164397454270648,"4","15664"
"4","15664_2.sorted_H0_2",-0.00199782644392789,0.0199092430476674,"4","15664"
"5","15664_2.sorted_H1_2",-0.0031413972033273,0.0188456156972376,"4","15664"
"6","15664_2.sorted_H2_2",-0.000511126048003124,0.0193159013086061,"4","15664"
"7","15664_2.sorted_H3_2",-0.00183828420137406,0.0202620705138062,"4","15664"
"8","15664_3.sorted_H0_2",-0.00285498456378306,0.0199265445392029,"4","15664"
"9","15664_3.sorted_H1_2",-0.00262149571594014,0.0188702913339323,"4","15664"
"10","15664_3.sorted_H2_2",-0.00138070056494894,0.019990386419036,"4","15664"
"11","15664_3.sorted_H3_2",0.00014629017106371,0.0205262565384782,"4","15664"
"12","15664_4.sorted_H0_2",-0.0032605497885084,0.0171830064911548,"4","15664"
"13","15664_4.sorted_H1_2",-0.00131669312756001,0.0148596047375497,"4","15664"
"14","15664_4.sorted_H2_2",-0.00231584748186897,0.0141843295480828,"4","15664"
"15","15664_5.sorted_H0_2",-0.00312905179889827,0.0200482325481641,"4","15664"
"16","15664_5.sorted_H1_2",-0.000658213210591374,0.0174712850531377,"4","15664"
"17","15664_5.sorted_H2_2",-0.00236642791902852,0.0207561571085162,"4","15664"
"18","15664_5.sorted_H3_2",-0.00124466933704885,0.0194876683609988,"4","15664"
"19","15664_6.sorted_H0_1",-0.00265338580243029,0.0204149648512921,"4","15664"
"20","15664_6.sorted_H1_1",-0.00331301180351409,0.0190150561241639,"4","15664"
"21","15664_6.sorted_H2_1",-0.00141996533681296,0.0193244735665007,"4","15664"
"22","15664_6.sorted_H3_1",-0.00204730182134864,0.0194828010809535,"4","15664"
"23","16207_1.sorted_H0_2",-0.0218899667344896,0.0304857372163389,"4","16207"
"24","16207_1.sorted_H1_2",-0.0219834574024361,0.0340207703809008,"4","16207"
"25","16207_1.sorted_H2_2",-0.0208471877987721,0.0322531820747394,"4","16207"
"26","16207_1.sorted_H3_2",-0.0181564579439783,0.0239666840085722,"4","16207"
"27","16207_2.sorted_H0_1",-0.0230651889156919,0.0339316986976924,"4","16207"
