"","sample","MDS_D1","MDS_D2","cluster","patient"
"1","15664_1_-_87415_S75_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00309330007728244,0.0231244629883901,"3","15664"
"2","15664_2_-_504194_S38_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00101165105167072,0.0208661323445023,"3","15664"
"3","15664_3_-_504202_S46_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.000760785689806872,0.0201607681549474,"3","15664"
"4","15664_4_-_TASPX119494_S74_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00125926176747086,0.0189425748987918,"3","15664"
"5","15664_5_-_504210_S54_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00285353961835555,0.0215361901716135,"3","15664"
"6","15664_6_-_504217_S61_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00238237112195823,0.0223986555555716,"3","15664"
"7","16207_1_-_504230_S74_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0186533298290491,0.0238544013386337,"5","16207"
"8","16207_2_-_504181_S25_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0185299054603961,0.0221697037767861,"5","16207"
"9","16207_3_-_504231_S75_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0193701769287992,0.0254297745921336,"5","16207"
"10","16207_4_-_79504_S23_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0190935493067229,0.020696707611448,"5","16207"
"11","16207_5_-_504182_S26_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0188336699664628,0.0218210882246585,"5","16207"
"12","16207_6_-_504185_S29_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0185709702328178,0.0221177827107829,"5","16207"
"13","22763_1_-_84785_S56_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.0468569267475433,-0.0243569346659524,"4","22763"
