"","sample","MDS_D1","MDS_D2","cluster","patient"
"1","15664_1.sorted_H0_2",-0.00217562755418559,0.0187651713228752,"5","15664"
"2","15664_1.sorted_H1_2",-0.00195661865981662,0.0208700995487218,"5","15664"
"3","15664_1.sorted_H2_2",-0.00165860413855933,0.0150916346259237,"5","15664"
"4","15664_2.sorted_H0_2",0.000240232286754032,0.0187793172356811,"5","15664"
"5","15664_2.sorted_H1_2",0.00136286892245683,0.0174329928003226,"5","15664"
"6","15664_2.sorted_H2_2",-0.00124664375582184,0.0179058024680152,"5","15664"
"7","15664_2.sorted_H3_2",-6.7208807526668e-06,0.0190526685825318,"5","15664"
"8","15664_3.sorted_H0_2",0.00106856540346483,0.0186025123187275,"5","15664"
"9","15664_3.sorted_H1_2",0.000726273864273295,0.017582556308632,"5","15664"
"10","15664_3.sorted_H2_2",-0.00041217976731863,0.0185906006768638,"5","15664"
"11","15664_3.sorted_H3_2",-0.00211193910098634,0.0193817314445002,"5","15664"
"12","15664_4.sorted_H0_2",0.00208804223976263,0.0164387569741861,"5","15664"
"13","15664_4.sorted_H1_2",0.000138156545026926,0.0142194626375571,"5","15664"
"14","15664_4.sorted_H2_2",0.0011421836080177,0.0134845172522422,"5","15664"
"15","15664_5.sorted_H0_2",0.00125030712481133,0.0186684747507383,"5","15664"
"16","15664_5.sorted_H1_2",-0.00138287448724437,0.0163774173978377,"5","15664"
"17","15664_5.sorted_H2_2",0.000523237379356167,0.01927800030978,"5","15664"
"18","15664_5.sorted_H3_2",-0.000805328143406869,0.0182390787109615,"5","15664"
"19","15664_6.sorted_H0_1",0.000633711675623222,0.019218491514695,"5","15664"
"20","15664_6.sorted_H1_1",0.00136772563287242,0.0176818531593049,"5","15664"
"21","15664_6.sorted_H2_1",-0.000519744664052609,0.0178514782641129,"5","15664"
"22","15664_6.sorted_H3_1",-1.29488652844268e-06,0.0181730254603994,"5","15664"
"23","16207_1.sorted_H0_2",0.0261852624959426,0.0293329414688989,"1","16207"
"24","16207_1.sorted_H1_2",0.0260283338659551,0.0330514605064938,"1","16207"
"25","16207_1.sorted_H2_2",0.0253789596752133,0.0310757624881632,"1","16207"
"26","16207_1.sorted_H3_2",0.0215606548401448,0.0228448206696863,"1","16207"
"27","16207_2.sorted_H0_1",0.0274780413920178,0.0326531833564392,"1","16207"
"28","16207_2.sorted_H1_1",0.0269968067035245,0.0330978509353454,"1","16207"
"29","16207_2.sorted_H2_1",0.0256272075786229,0.0308169796071099,"1","16207"
"30","16207_2.sorted_H3_1",0.017735181223238,0.0237378700878172,"1","16207"
"31","16207_3.sorted_H0_2",0.0254527888714336,0.0284831838739589,"1","16207"
"32","16207_3.sorted_H1_2",0.0268140377157808,0.032869969253219,"1","16207"
"33","16207_3.sorted_H2_2",0.0256347644291594,0.0301745008489562,"1","16207"
"34","16207_3.sorted_H3_2",0.0163344531584074,0.0222883413344805,"1","16207"
"35","16207_4.sorted_H0_1",0.02702970693341,0.0309201116043825,"1","16207"
"36","16207_4.sorted_H1_1",0.0279127526500592,0.0320024346267862,"1","16207"
"37","16207_4.sorted_H2_1",0.0256359600098739,0.0301156276275291,"1","16207"
"38","16207_4.sorted_H3_1",0.0189780952456616,0.0182139050403777,"1","16207"
"39","16207_5.sorted_H0_2",0.0258209560918705,0.0311304300180462,"1","16207"
"40","16207_5.sorted_H1_2",0.0249337690855977,0.0291865464108719,"1","16207"
"41","16207_5.sorted_H2_2",0.0248469797685411,0.0320188527374341,"1","16207"
"42","16207_6.sorted_H0_1",0.0282418122297865,0.0317098358770279,"1","16207"
"43","16207_6.sorted_H1_1",0.0265634783309735,0.0322869098453464,"1","16207"
"44","16207_6.sorted_H2_1",0.0257438801288975,0.0304904393596568,"1","16207"
"45","16207_6.sorted_H3_1",0.0185172667371853,0.0247242480955959,"1","16207"
"46","22763_1.sorted_H0_2",-0.0474057975494792,-0.0156869989605756,"3","22763"
"47","22763_1.sorted_H1_2",-0.0463403342380847,-0.0141876860698747,"3","22763"
"48","22763_1.sorted_H2_2",-0.0317924710725462,-0.0109607911633861,"3","22763"
"49","22763_1.sorted_H3_2",-0.0451663793786598,-0.0136412914045971,"3","22763"
"50","22763_2.sorted_H0_1",-0.0468711628956995,-0.014339374660434,"3","22763"
"51","22763_2.sorted_H1_1",-0.0481054833721266,-0.0160009945059893,"3","22763"
"52","22763_2.sorted_H2_1",-0.0464390191761209,-0.0147157886281933,"3","22763"
"53","22763_2.sorted_H3_1",-0.0488966069752124,-0.015270754041258,"3","22763"
"54","22763_3.sorted_H0_2",-0.0459502891890772,-0.0158504972559472,"3","22763"
"55","22763_3.sorted_H1_2",-0.0442970960625874,-0.0157788427939047,"3","22763"
"56","22763_3.sorted_H2_2",-0.0419597345539892,-0.0134455188320165,"3","22763"
"57","22763_3.sorted_H3_2",-0.04220041335916,-0.0150210450515812,"3","22763"
"58","22763_4.sorted_H0_2",-0.0535266504638925,-0.0184419959945334,"3","22763"
"59","22763_4.sorted_H1_2",-0.0512258090556282,-0.0171397193825684,"3","22763"
"60","22763_4.sorted_H2_2",-0.0489820755981976,-0.0147627764785806,"3","22763"
"61","22763_4.sorted_H3_2",-0.0498084014918725,-0.0180866628643287,"3","22763"
"62","22763_5.sorted_H0_1",-0.0507625808862725,-0.0191624438224952,"3","22763"
"63","22763_5.sorted_H1_1",-0.0492595771863818,-0.0162521068122721,"3","22763"
"64","22763_5.sorted_H2_1",-0.0395240396628108,-0.0110383735260765,"3","22763"
"65","22763_5.sorted_H3_1",-0.0479559752992703,-0.015002965766368,"3","22763"
"66","22763_6.sorted_H0_1",-0.0490242770376267,-0.017372351440739,"3","22763"
"67","22763_6.sorted_H1_1",-0.0473597975841835,-0.0151966654145121,"3","22763"
"68","22763_6.sorted_H2_1",-0.0389665939089563,-0.0123918185071397,"3","22763"
"69","22763_6.sorted_H3_1",-0.0474621772527767,-0.015176475966873,"3","22763"
"70","22763_7.sorted_H0_2",-0.0522102750155858,-0.0176065067291715,"3","22763"
"71","22763_7.sorted_H1_2",-0.0499689319276017,-0.0170193241078368,"3","22763"
"72","22763_7.sorted_H2_2",-0.0434924841176135,-0.012967280295327,"3","22763"
"73","22763_7.sorted_H3_2",-0.05088459911231,-0.0179887449845849,"3","22763"
"74","22763_8.sorted_H0_2",-0.0502861765239697,-0.0180531053200538,"3","22763"
"75","22763_8.sorted_H1_2",-0.0495591110027431,-0.0174537743516021,"3","22763"
"76","22763_8.sorted_H2_2",-0.0483816033395796,-0.0176146670896477,"3","22763"
"77","22763_8.sorted_H3_2",-0.0483115572892809,-0.0180204226281198,"3","22763"
"78","22828_1.sorted_H0_2",-0.00268645284673725,0.0168262766001348,"5","22828"
"79","22828_1.sorted_H1_2",-0.0022018427711457,0.0177675475210352,"5","22828"
"80","22828_1.sorted_H2_2",-0.00246651912984028,0.0180176687415965,"5","22828"
"81","22828_2.sorted_H0_1",-0.000384955762939487,0.0163704574383643,"5","22828"
"82","22828_2.sorted_H1_1",-0.000994903476499987,0.0160631632849446,"5","22828"
"83","22828_2.sorted_H2_1",0.00176666399949894,0.0129631263290756,"5","22828"
"84","22828_2.sorted_H3_1",-0.000284170346989657,0.017005673637589,"5","22828"
"85","22828_3.sorted_H0_2",0.00161455941427785,0.0166097490298968,"5","22828"
"86","22828_3.sorted_H1_2",0.00336131019690656,0.01698934424115,"5","22828"
"87","22828_3.sorted_H2_2",0.00194467747746386,0.0150699721046967,"5","22828"
"88","22828_4.sorted_H0_2",0.000853495707437026,0.0178060469430594,"5","22828"
"89","22828_4.sorted_H1_2",-0.000478218775256509,0.0159817527082949,"5","22828"
"90","22828_4.sorted_H2_2",0.00233635801975092,0.0163929433390277,"5","22828"
"91","22828_4.sorted_H3_2",-0.000215458773995299,0.0178990251040699,"5","22828"
"92","22828_5.sorted_H0_1",-0.000951551289630251,0.0130111590127097,"5","22828"
"93","22828_5.sorted_H1_1",0.000302323729498866,0.012344720977039,"5","22828"
"94","22828_5.sorted_H2_1",0.000570415631167532,0.0131702217983167,"5","22828"
"95","22828_5.sorted_H3_1",-0.000379737186290492,0.0160581304720496,"5","22828"
"96","22828_6.sorted_H0_1",0.0007344820593483,0.0143237712614647,"5","22828"
"97","22828_6.sorted_H1_1",-0.000106925794159688,0.0138538155744474,"5","22828"
"98","22828_6.sorted_H2_1",-0.0108370614078126,0.00774403091110685,"5","22828"
"99","22828_6.sorted_H3_1",0.000727080949360596,0.0132321045454439,"5","22828"
"100","26892_1.sorted_H0_1",0.0336797998791616,-0.0462217099322376,"2","26892"
"101","26892_1.sorted_H1_1",0.0272048143439634,-0.0383662543646505,"2","26892"
"102","26892_1.sorted_H2_1",0.032312141990611,-0.0434920651076364,"2","26892"
"103","26892_1.sorted_H3_1",0.0325892238545238,-0.046105575474077,"2","26892"
"104","26892_2.sorted_H0_2",0.0329563029183101,-0.0475569028933762,"2","26892"
"105","26892_2.sorted_H1_2",0.0257926913993754,-0.0422781855391443,"2","26892"
"106","26892_2.sorted_H2_2",0.0325520655187935,-0.0460595862858284,"2","26892"
"107","26892_2.sorted_H3_2",0.0351563547792002,-0.0480019476421542,"2","26892"
"108","26892_3.sorted_H0_2",0.0314222210783058,-0.0457384992595095,"2","26892"
"109","26892_3.sorted_H1_2",0.0340833724530835,-0.0465132322910728,"2","26892"
"110","26892_3.sorted_H2_2",0.033283035271965,-0.0451191831674589,"2","26892"
"111","26892_4.sorted_H0_1",0.035648579501756,-0.0473948230817581,"2","26892"
"112","26892_4.sorted_H1_1",0.0298518540133086,-0.0380021900993249,"2","26892"
"113","26892_4.sorted_H2_1",0.0326514907801923,-0.0459971742642882,"2","26892"
"114","26892_4.sorted_H3_1",0.0355509415490444,-0.0483554056186777,"2","26892"
"115","26892_5.sorted_H0_1",0.0314950448196915,-0.0463194820367356,"2","26892"
"116","26892_5.sorted_H1_1",0.0181821163333032,-0.0409490019648662,"2","26892"
"117","26892_5.sorted_H2_1",0.0257105143575198,-0.044257459594591,"2","26892"
"118","26892_5.sorted_H3_1",0.0309097315432007,-0.0458102109159039,"2","26892"
"119","26892_6.sorted_H0_2",0.0353486048258461,-0.0464269328853869,"2","26892"
"120","26892_6.sorted_H1_2",0.0300167437885359,-0.0384011253003953,"2","26892"
"121","26892_6.sorted_H2_2",0.0325637772230929,-0.0475448526129469,"2","26892"
"122","26892_6.sorted_H3_2",0.0354068260521772,-0.0478977911447765,"2","26892"
"123","26892_7.sorted_H0_1",0.0339816157876937,-0.0467784887952454,"2","26892"
"124","26892_7.sorted_H1_1",0.0296783026224687,-0.0411780582583092,"2","26892"
"125","26892_7.sorted_H2_1",0.0308581067326485,-0.0461876264964936,"2","26892"
"126","26892_7.sorted_H3_1",0.0336692168706521,-0.0472018036781962,"2","26892"
"127","28545_1.sorted_H0_2",-0.00383689636678415,0.0153564929439278,"5","28545"
"128","28545_1.sorted_H1_2",-0.00388001192668581,0.0124280718362537,"5","28545"
"129","28545_1.sorted_H2_2",-0.00330662373294831,0.0145508420467494,"5","28545"
"130","28545_1.sorted_H3_2",-0.00402217927713224,0.0129517652385566,"5","28545"
"131","28545_2.sorted_H0_3",-6.90533027211541e-05,0.019947926651371,"5","28545"
"132","28545_2.sorted_H1_3",-0.000529460683629485,0.0197633942278551,"5","28545"
"133","28545_3.sorted_H0_2",-0.00221986992288985,0.017539539566144,"5","28545"
"134","28545_3.sorted_H1_2",-0.00242421284403156,0.0166595787372089,"5","28545"
"135","28545_3.sorted_H2_2",-0.0020607518205036,0.0178902696813265,"5","28545"
"136","28545_4.sorted_H0_3",8.3065000650992e-05,0.0145787128019734,"5","28545"
"137","28545_4.sorted_H1_3",0.000850881849514903,0.0142916007132526,"5","28545"
"138","28545_5.sorted_H0_2",-0.0029540106702733,0.0161401603217555,"5","28545"
"139","28545_5.sorted_H1_2",-0.00367941666487281,0.0157616500967438,"5","28545"
"140","28545_5.sorted_H2_2",-0.00259457802468658,0.0149335293569664,"5","28545"
"141","28841_1.sorted_H0_2",0.00390458605666504,-0.0149639506624432,"4","28841"
"142","28841_1.sorted_H1_2",0.00359951558932339,-0.0155009698869768,"4","28841"
"143","28841_1.sorted_H2_2",0.00076176112801458,-0.00972935661851741,"4","28841"
"144","28841_2.sorted_H0_2",0.0116027177213648,-0.020961328779713,"4","28841"
"145","28841_2.sorted_H1_2",0.0118332299156178,-0.0231639213298805,"4","28841"
"146","28841_2.sorted_H2_2",0.0123850848861604,-0.0206526637264978,"4","28841"
"147","28841_2.sorted_H3_2",0.00993415946831041,-0.0187685787294916,"4","28841"
"148","29447_1.sorted_H0_2",-0.00301322500206069,0.0151408395941745,"5","29447"
"149","29447_1.sorted_H1_2",-0.00253550882797186,0.0158108270209472,"5","29447"
"150","29447_1.sorted_H2_2",0.00162147883154425,0.0113036931528667,"5","29447"
"151","29447_2.sorted_H0_2",0.000983596945028771,0.0186746520503354,"5","29447"
"152","29447_2.sorted_H1_2",0.00547359983366422,0.0184787104485281,"5","29447"
"153","29447_2.sorted_H2_2",-0.00029820971590057,0.0168573144750836,"5","29447"
"154","29447_2.sorted_H3_2",0.000150973526702456,0.0179272694581579,"5","29447"
"155","29447_3.sorted_H0_2",-0.0016045454370656,0.0165459101362693,"5","29447"
"156","29447_3.sorted_H1_2",-0.000563297367901508,0.0167327981895491,"5","29447"
"157","29447_3.sorted_H2_2",-0.00114184721784707,0.0141153810325082,"5","29447"
"158","29447_3.sorted_H3_2",-0.00370571778199186,0.0170066123322153,"5","29447"
"159","29447_4.sorted_H0_2",-0.00181956457973937,0.0175569623678788,"5","29447"
"160","29447_4.sorted_H1_2",-0.00534391053483791,0.015373944398535,"5","29447"
"161","29447_4.sorted_H2_2",-0.00194521100378214,0.0152001064580611,"5","29447"
"162","29447_4.sorted_H3_2",-0.00263879062959103,0.0144065167207518,"5","29447"
"163","47939_1.sorted_H0_2",0.00716499603862048,-0.00331112769850211,"4","47939"
"164","47939_1.sorted_H1_2",0.00820086637884255,-0.00192155500633148,"4","47939"
"165","47939_1.sorted_H2_2",0.00735628072591105,-0.00348363621070714,"4","47939"
"166","47939_1.sorted_H3_2",0.00610036434366634,-0.0017103573123283,"4","47939"
"167","47939_2.sorted_H0_2",0.00878676964817789,-0.00269728922437592,"4","47939"
"168","47939_2.sorted_H1_2",0.00795242586908295,-0.00255326527902492,"4","47939"
"169","47939_2.sorted_H2_2",0.00809910447932275,-0.0009631323206404,"4","47939"
"170","47939_3.sorted_H0_1",0.00902164560534333,-0.00282216293194006,"4","47939"
"171","47939_3.sorted_H1_1",0.00869168058512965,-0.00163374173425539,"4","47939"
"172","47939_3.sorted_H2_1",0.00747773063334944,-0.0034298653630873,"4","47939"
"173","47939_3.sorted_H3_1",0.0080339221382559,-0.000267386699350717,"4","47939"
