"","sample","MDS_D1","MDS_D2","cluster","patient"
"1","15664_1_H0",-0.00616618037431465,-0.000175448876029327,"2","15664"
"2","15664_1_H1",-0.00748315119342506,-0.00339387486667157,"2","15664"
"3","15664_1_H2",-0.00561565091734776,-0.000864560913993327,"2","15664"
"4","15664_1_H3",-0.00459941208973309,-0.000150822960921797,"2","15664"
"5","15664_2_H0",-0.00601682370723742,0.000266703081022638,"2","15664"
"6","15664_2_H1",-0.00506765501552076,0.00338431578880237,"2","15664"
"7","15664_2_H2",-0.00372282259227857,0.00134527268326395,"2","15664"
"8","15664_2_H3",-0.00615170861639581,0.00249378081068904,"2","15664"
"9","15664_2_H4",-0.00674420336303186,-0.000602872395862855,"2","15664"
"10","15664_2_H5",-0.00533071692631851,-0.000452627917093833,"2","15664"
"11","15664_2_H6",-0.00413043902294825,0.00283502529620241,"2","15664"
"12","15664_2_H7",-0.00594227031259925,-0.00066760365625216,"2","15664"
"13","15664_2_H8",-0.00471855270202649,0.00293495074747295,"2","15664"
"14","15664_2_H9",-0.00396675583805797,0.00187172002765524,"2","15664"
"15","15664_3_H0",-0.00555362041062498,0.00034496193754752,"2","15664"
"16","15664_3_H1",-0.00818279807935446,0.000509264331705036,"2","15664"
"17","15664_3_H2",-0.00485258903640331,0.00184317060874663,"2","15664"
"18","15664_3_H3",-0.00665539313050449,-0.00171696577257187,"2","15664"
"19","15664_3_H4",-0.00463882158649891,0.0010967959200833,"2","15664"
"20","15664_3_H5",-0.00653516491901529,0.00298274441401542,"2","15664"
"21","15664_3_H6",-0.00651181068458693,-0.000936320534437737,"2","15664"
"22","15664_3_H7",-0.00449169403934659,0.00231578628027818,"2","15664"
"23","15664_3_H8",-0.0053166702539642,0.000506666593287178,"2","15664"
"24","15664_3_H9",-0.00848659604007612,-0.00101112700032703,"2","15664"
"25","15664_4_H0",-0.00494185380745031,-0.00400216256541471,"2","15664"
"26","15664_4_H1",-0.00541742915360467,-0.00257386645093604,"2","15664"
"27","15664_4_H4",-0.00226507283447638,-0.00332439831390762,"2","15664"
"28","15664_4_H5",-0.00314728512862512,-0.00261629529708597,"2","15664"
"29","15664_4_H6",-0.00367309142827666,-0.00289826195013861,"2","15664"
"30","15664_4_H7",-0.00245389972624062,-0.00261447223047454,"2","15664"
"31","15664_4_H8",-0.00439749296108298,-0.00360409287367163,"2","15664"
"32","15664_5_H0",-0.00404107521843206,0.00246418954933465,"2","15664"
"33","15664_5_H1",-0.0060603717793392,0.00396598038748103,"2","15664"
"34","15664_5_H2",-0.00308941327280922,0.00238744930000852,"2","15664"
"35","15664_5_H3",-0.0055069440590029,-0.00189946877844502,"2","15664"
"36","15664_5_H4",-0.00558862288841287,0.000682423951139651,"2","15664"
"37","15664_5_H5",-0.00720700731365247,0.000769145548049876,"2","15664"
"38","15664_5_H6",-0.00329370714637442,0.00137513385257752,"2","15664"
"39","15664_5_H7",-0.00614092808473451,0.00462758324080515,"2","15664"
"40","15664_5_H9",-0.0073891260993429,0.00332319171917784,"2","15664"
"41","15664_6_H0",-0.00554419028781336,0.0015529094968,"2","15664"
"42","15664_6_H1",-0.00878884741236278,0.00257186235847175,"2","15664"
"43","15664_6_H2",-0.00544820826221185,0.00193881037762565,"2","15664"
"44","15664_6_H3",-0.00798880293709107,0.00169959962841226,"2","15664"
"45","15664_6_H4",-0.00699621491650211,-0.000251535739673068,"2","15664"
"46","15664_6_H5",-0.00524760774986282,-0.000217376853181577,"2","15664"
"47","15664_6_H6",-0.00533777204987468,0.00177131911769403,"2","15664"
"48","15664_6_H7",-0.00869206952511014,0.00157330167554837,"2","15664"
"49","15664_6_H8",-0.00794313236861243,0.00200659069697069,"2","15664"
"50","15664_6_H9",-0.00576167516461635,0.00427173967424093,"2","15664"
"51","16207_1_H0",-0.0508122587898957,-0.00316621393988281,"2","16207"
"52","16207_1_H1",-0.044678148656247,-0.00788792977503908,"2","16207"
"53","16207_1_H2",-0.0420817426420859,-0.00650990237531329,"2","16207"
"54","16207_1_H3",-0.0440049262361611,-0.00110260795070914,"2","16207"
"55","16207_1_H4",-0.0418306134510601,-0.00216112427786426,"2","16207"
"56","16207_1_H5",-0.0444329999051529,-0.00608680585891884,"2","16207"
"57","16207_1_H6",-0.05345172840259,-0.00589615777574384,"2","16207"
"58","16207_1_H7",-0.035001337831981,-0.000334169631709635,"2","16207"
"59","16207_1_H8",-0.0488909280401743,-0.00375647790281508,"2","16207"
"60","16207_1_H9",-0.0423933852717994,-0.00517946150478939,"2","16207"
"61","16207_2_H0",-0.0487508977812785,-0.004326682556772,"2","16207"
"62","16207_2_H1",-0.0434278576580708,-0.00467301845944146,"2","16207"
"63","16207_2_H2",-0.0483967560267008,-0.00827844117290436,"2","16207"
"64","16207_2_H3",-0.0474033320702697,0.000452376009674648,"2","16207"
"65","16207_2_H4",-0.0491139923034308,-0.00107763740834337,"2","16207"
"66","16207_2_H5",-0.0403862294784309,-0.00524476800794832,"2","16207"
"67","16207_2_H6",-0.0462001663410079,-0.00737044148265372,"2","16207"
"68","16207_2_H7",-0.0477707806308265,-0.00229864503954671,"2","16207"
"69","16207_2_H8",-0.046568035947343,-0.00361882299426415,"2","16207"
"70","16207_2_H9",-0.0466914121356742,0.0025734877904223,"2","16207"
"71","16207_3_H0",-0.0520104332778463,-0.00520988589716948,"2","16207"
