"","sample","MDS_D1","MDS_D2","cluster","patient"
"1","12796_1_-_81065_S64_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.00556753923114252,-0.0046372751243771,"3","12796"
"2","12796_2_-_504199_S43_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.00244007618369207,-0.00491438049431072,"3","12796"
"3","13003_1_-_504234_S78_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00164709409548621,-0.0141599934582509,"3","13003"
"4","13003_2_-_504204_S48_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.00207840677300986,-0.0139590847455379,"3","13003"
"5","13003_3_-_504220_S64_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00157021929583367,-0.013516041234422,"3","13003"
"6","15664_1_-_87415_S75_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0124402273952412,-0.0129414397483941,"3","15664"
"7","15664_2_-_504194_S38_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.00990931359512287,-0.0111005529776341,"3","15664"
"8","15664_3_-_504202_S46_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.00936032785187694,-0.010421997752729,"3","15664"
"9","15664_4_-_TASPX119494_S74_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.00899095521985691,-0.0118054306662999,"3","15664"
"10","15664_5_-_504210_S54_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0117556473864096,-0.0108003153566393,"3","15664"
"11","15664_6_-_504217_S61_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0117475024916707,-0.0118990170250196,"3","15664"
"12","16207_1_-_504230_S74_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00589887167221901,-0.0461023125589998,"2","16207"
"13","16207_2_-_504181_S25_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00581107254678764,-0.0460297489519339,"2","16207"
"14","16207_3_-_504231_S75_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.0058018652213713,-0.0479558204959196,"2","16207"
"15","16207_4_-_79504_S23_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00703744422705238,-0.0450051514530038,"2","16207"
"16","16207_5_-_504182_S26_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00599269622183513,-0.0465128608405877,"2","16207"
"17","16207_6_-_504185_S29_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.00583547085351102,-0.046139977840363,"2","16207"
"18","17339_1_-_X84335_S20_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.00479922744831018,-0.00254967238943105,"3","17339"
"19","17339_2_-_504186_S30_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.017564837019202,0.0116742272526651,"1","17339"
"20","17339_3_-_504203_S47_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.018157417928081,0.0120731128592015,"1","17339"
"21","17339_4_-_504215_S59_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.0240179829845212,0.0160367978532699,"1","17339"
"22","19937_1_-_84298_S2_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.000926999375055824,-0.020623766228072,"3","19937"
"23","19937_2_-_504192_S36_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.000309397238614847,-0.0199182168703538,"3","19937"
"24","19937_3_-_105094_S45_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.00190807479866866,-0.010443678358668,"3","19937"
"25","22097_1_-_84434_S32_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.0156004273659159,0.012052709184109,"1","22097"
"26","22097_2_-_504188_S32_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.0150621579103703,0.0120844444463158,"1","22097"
"27","22097_3_-_504211_S55_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",0.0159807909121127,0.0110253857634749,"1","22097"
"28","22763_1_-_84785_S56_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.042031948997889,0.0284189414560387,"4","22763"
"29","22763_2_-_504189_S33_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0402358067030558,0.0253896188196663,"4","22763"
"30","22763_3_-_504197_S41_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0421179481091039,0.0288141564951974,"4","22763"
"31","22763_4_-_504205_S49_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0467725842229502,0.0309228507333968,"4","22763"
"32","22763_5_-_504207_S51_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0435730234849574,0.0298288634572423,"4","22763"
"33","22763_6_-_504218_S62_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0417796794448646,0.0298094364677242,"4","22763"
"34","22763_7_-_504225_S69_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0450673837463941,0.0322947399731729,"4","22763"
"35","22763_8_-_504228_S72_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.045930046064744,0.0310623664498024,"4","22763"
"36","22828_1_-_X83322_S89_ConsensusRound1_GapsFilled_assembled_to_AF411967_FULL_consensus_sequence",-0.0100482969746504,-0.00581470401153585,"3","22828"
