"","starts","kaks"
"4",10,0.288621646623497
"5",13,0.228928199791883
"9",25,0.0841813135985199
"11",31,0.227567067530065
"13",37,0.241443108233117
"14",40,0.316373728029602
"15",43,0.658394160583942
"16",46,1.13593256059009
"23",67,0.526365348399247
"27",79,0.564943253467844
"28",82,0.124884366327475
"33",97,Inf
"44",130,0.30253807106599
"45",133,0.704111132481189
"46",136,0.122109158186864
"48",142,1.61658841940532
"52",154,0.81377151799687
"54",160,0.0425531914893617
"NA",NA,NA
"66",196,0.497866250224248
"67",199,1.13593256059009
"68",202,1.22962112514351
"71",211,0.490250291477192
"72",214,0.388529139685476
"75",223,0.667616334283001
"87",259,0.49213691026827
"88",262,0.0841813135985199
"89",265,0.310823311748381
"109",325,0.0425531914893617
"113",337,0.288621646623497
"114",340,0.0918264379414733
"115",343,1.17775354416576
"116",346,0.230769230769231
"117",349,0.288621646623497
"119",355,0.159111933395005
"124",370,0.0444444444444444
"129",385,1.19523269012486
"145",433,1.18261826182618
"156",466,0.0918264379414733
"157",469,0.159111933395005
"171",511,0.444033302497687
"172",514,1.11862643080125
"179",535,0.288621646623497
"183",547,0.522939346915241
"187",559,1.56521739130435
"191",571,0.194264569842738
"199",595,1.04444444444444
"211",631,1.60075329566855
"215",643,0.122109158186864
"216",646,0.122109158186864
"218",652,0.159111933395005
"219",655,0.13595166163142
"220",658,1.30354957160343
"221",661,0.334875115633673
"225",673,0.00558606495872618
"233",697,0.227567067530065
"252",754,0.0442733397497594
"253",757,0.0832562442183164
"254",760,0.555041628122109
"255",763,0.0425531914893617
"257",769,0.999074930619796
"259",775,1.03942307692308
"286",856,1.02470588235294
"300",898,0.486274509803922
"313",937,0.52814371257485
"317",949,0.0425531914893617
"325",973,0.720094000326956
"328",982,0.30814639905549
"329",985,0.00203142839982841
"330",988,1.3978349120433
"339",1015,0.142255005268704
"347",1039,1.42496309008449
"353",1057,0.312574850299401
"354",1060,0.0425531914893617
"355",1063,0.227567067530065
"358",1072,0.711920529801324
"362",1084,0.571505446815304
"365",1093,0.2548828125
"370",1108,0.194264569842738
"376",1126,1.62396006655574
"378",1132,0.408758266681601
"389",1165,0.0444444444444444
"396",1186,0.567992599444958
"399",1195,0.32377428307123
"401",1201,0.51063829787234
"402",1204,0.139093782929399
"425",1273,0.278445883441258
"426",1276,0.0842414053783682
"428",1282,0.49213691026827
"429",1285,0.288621646623497
"430",1288,0.731707317073171
"432",1294,0.259019426456984
"433",1297,0.957446808510638
"443",1327,0.0444444444444444
"444",1330,1.13593256059009
"448",1342,0.288621646623497
"462",1384,0.0425531914893617
"475",1423,0.227567067530065
"477",1429,0.241443108233117
"484",1450,1.04514229636899
"485",1453,1.05045278137128
"486",1456,0.789354473386183
"497",1489,0.194264569842738
"508",1522,0.90310442144873
"516",1546,1.04042348411935
"517",1549,0.259019426456984
"520",1558,1.40572171651495
"521",1561,0.288621646623497
"526",1576,0.442132639791938
"528",1582,0.788360552417464
"530",1588,0.194264569842738
"537",1609,1.02756653992395
"541",1621,0.227567067530065
"550",1648,0.227567067530065
"551",1651,1.40191190697606
"555",1663,0.123959296947271
"561",1681,0.974098057354302
"564",1690,0.427382053654024
"NA.1",NA,NA
"582",1744,0.442132639791938
"585",1753,0.314523589269195
"587",1759,1.22962112514351
"588",1762,1.01122544434051
"598",1792,0.177889447236181
"600",1798,0.297702297702298
"602",1804,0.159111933395005
"603",1807,0.972136241302215
"605",1813,0.227567067530065
"609",1825,1.04243008678881
"612",1834,0.316373728029602
"616",1846,0.0425531914893617
"617",1849,1.35430916552668
"618",1852,1.62396006655574
"619",1855,1.287841191067
"620",1858,0.227411013234604
"621",1861,2.1978021978022
"622",1864,0.259019426456984
"627",1879,0.0425531914893617
"631",1891,0.122109158186864
"635",1903,0.574029233656254
"642",1924,1.07036669970268
"643",1927,0.159111933395005
"660",1978,0.421052631578947
"662",1984,0.0425531914893617
"663",1987,0.0425531914893617
"668",2002,0.304859164530821
"670",2008,0.122109158186864
"671",2011,0.0425531914893617
"672",2014,0.00203142839982841
"675",2023,0.342275670675301
"678",2032,0.577243293246994
"681",2041,0.427382053654024
"682",2044,0.980573543015726
"684",2050,0.379834254143646
"693",2077,0.0425531914893617
"697",2089,0.0444444444444444
"698",2092,0.0443587270973963
"705",2113,0.543015726179463
"709",2125,0.388529139685476
"NA.2",NA,NA
"717",2149,0.0832562442183164
"721",2161,0.288621646623497
"722",2164,0.342275670675301
"725",2173,0.288621646623497
"728",2182,0.259019426456984
"731",2191,0.0425531914893617
"735",2203,0.259019426456984
"736",2206,0.388529139685476
"745",2233,0.342275670675301
"750",2248,0.259019426456984
"761",2281,0.73
"774",2320,0.0425531914893617
"783",2347,0.893376413570275
"785",2353,0.195987308894442
"795",2383,0.569842738205365
"811",2431,0.375578168362627
"812",2434,0.00397453382575124
"814",2440,0.194264569842738
"822",2464,0.0441882804995197
"823",2467,1.21716745757646
"829",2485,1.03643336529243
"830",2488,0.613931523022432
"831",2491,0.0444444444444444
"835",2503,1.27664670658683
"873",2617,0.0425531914893617
"874",2620,1.19852868550415
"878",2632,0.259019426456984
"899",2695,0.194264569842738
"922",2764,0.259019426456984
"926",2776,0.159111933395005
"929",2785,1.32334581772784
"930",2788,0.259019426456984
"933",2797,0.288621646623497
"NA.3",NA,NA
"953",2857,0.877551020408163
"968",2902,0.0443159922928709
"980",2938,0.508788159111933
"984",2950,0.122109158186864
"992",2974,1.04444444444444
