"","sample","MDS_D1","MDS_D2","cluster","patient"
"1","15664_1_-_87415_S75_ConsensusRound1_GapsFilled_consensus_sequence",-0.000131194262399081,-0.00905016326744794,"1","15664"
"2","15664_2_-_504194_S38_ConsensusRound1_GapsFilled_consensus_sequence",-7.47219631682642e-05,-0.00475530041372189,"1","15664"
"3","15664_3_-_504202_S46_ConsensusRound1_GapsFilled_consensus_sequence",-0.00163393604610187,-0.00423510599004464,"1","15664"
"4","15664_4_-_TASPX119494_S74_ConsensusRound1_GapsFilled_consensus_sequence",0.000509402594846748,0.00223373175975734,"1","15664"
"5","15664_5_-_504210_S54_ConsensusRound1_GapsFilled_consensus_sequence",-0.00161928524617257,-0.00140598084778405,"1","15664"
"6","15664_6_-_504217_S61_ConsensusRound1_GapsFilled_consensus_sequence",-0.00356350341142961,-0.00378278072606959,"1","15664"
"7","16207_1_-_504230_S74_ConsensusRound1_GapsFilled_consensus_sequence",-0.028062442537919,-0.0246571872792751,"2","16207"
"8","16207_2_-_504181_S25_ConsensusRound1_GapsFilled_consensus_sequence",-0.0354556542504026,-0.0338787238192539,"2","16207"
"9","16207_3_-_504231_S75_ConsensusRound1_GapsFilled_consensus_sequence",-0.0417403333741691,-0.032182982219495,"2","16207"
"10","16207_4_-_79504_S23_ConsensusRound1_GapsFilled_consensus_sequence",-0.0338554751844841,-0.0362463732060575,"2","16207"
"11","16207_5_-_504182_S26_ConsensusRound1_GapsFilled_consensus_sequence",-0.0317997860927237,-0.0377187853650182,"2","16207"
"12","16207_6_-_504185_S29_ConsensusRound1_GapsFilled_consensus_sequence",-0.0403566322839138,-0.0408663835880594,"2","16207"
"13","22763_1_-_84785_S56_ConsensusRound1_GapsFilled_consensus_sequence",0.0205826006554784,-0.0299093776563243,"3","22763"
"14","22763_2_-_504189_S33_ConsensusRound1_GapsFilled_consensus_sequence",0.0352601937693493,-0.0325692154706818,"3","22763"
"15","22763_3_-_504197_S41_ConsensusRound1_GapsFilled_consensus_sequence",0.0305205385350641,-0.0412537257031916,"3","22763"
"16","22763_4_-_504205_S49_ConsensusRound1_GapsFilled_consensus_sequence",0.0310410199910327,-0.0381831137038452,"3","22763"
"17","22763_5_-_504207_S51_ConsensusRound1_GapsFilled_consensus_sequence",0.0252844742177282,-0.0296048358127163,"3","22763"
"18","22763_6_-_504218_S62_ConsensusRound1_GapsFilled_consensus_sequence",0.0229309314911736,-0.0309926670185233,"3","22763"
"19","22763_7_-_504225_S69_ConsensusRound1_GapsFilled_consensus_sequence",0.0291629801547996,-0.0325867838694749,"3","22763"
"20","22763_8_-_504228_S72_ConsensusRound1_GapsFilled_consensus_sequence",0.0286894118081448,-0.0358566655640644,"3","22763"
"21","22828_1_-_X83322_S89_ConsensusRound1_GapsFilled_consensus_sequence",0.024951918980375,0.0105346784973541,"1","22828"
"22","22828_2_-_504195_S39_ConsensusRound1_GapsFilled_consensus_sequence",0.0337205853346745,0.0139813774563376,"1","22828"
"23","22828_3_-_504208_S52_ConsensusRound1_GapsFilled_consensus_sequence",0.0248220882871699,0.0195095071668367,"1","22828"
"24","22828_4_-_X145364-R_S95_ConsensusRound1_GapsFilled_consensus_sequence",0.0294294939879015,0.0152856398612359,"1","22828"
"25","22828_5_-_504221_S65_ConsensusRound1_GapsFilled_consensus_sequence",0.00767564045388505,0.0027154288931999,"1","22828"
"26","22828_6_-_504227_S71_ConsensusRound1_GapsFilled_consensus_sequence",0.00782261320557398,0.00148789509881759,"1","22828"
"27","26892_1_-_83476_S27_ConsensusRound1_GapsFilled_consensus_sequence",-0.0230493105587891,0.0211350983002927,"4","26892"
"28","26892_2_-_504193_S37_ConsensusRound1_GapsFilled_consensus_sequence",-0.0341162294584768,0.0337745562983684,"4","26892"
"29","26892_3_-_100888_S14_ConsensusRound1_GapsFilled_consensus_sequence",-0.0253068965657211,0.0255928037093013,"4","26892"
"30","26892_4_-_TASPX100711_S29_ConsensusRound1_GapsFilled_consensus_sequence",-0.0307051870991679,0.0353156834975111,"4","26892"
"31","26892_5_-_504212_S56_ConsensusRound1_GapsFilled_consensus_sequence",-0.0329395372499623,0.0397765016312155,"4","26892"
"32","26892_6_-_X160138_S81_ConsensusRound1_GapsFilled_consensus_sequence",-0.0269803172605348,0.0246725280314245,"4","26892"
"33","26892_7_-_504224_S68_ConsensusRound1_GapsFilled_consensus_sequence",-0.0294052358059195,0.0303095646426612,"4","26892"
"34","28545_1_-_X84994_S90_ConsensusRound1_GapsFilled_consensus_sequence",0.00715120642908446,0.012854795062659,"1","28545"
"35","28545_2_-_504191_S35_ConsensusRound1_GapsFilled_consensus_sequence",0.0263728991677998,0.0382260262210057,"1","28545"
"36","28545_3_-_504196_S40_ConsensusRound1_GapsFilled_consensus_sequence",0.0218442856724196,0.0324194690457702,"1","28545"
"37","28545_4_-_504206_S50_ConsensusRound1_GapsFilled_consensus_sequence",0.0267065304576652,0.0539820531902037,"1","28545"
"38","28545_5_-_504214_S58_ConsensusRound1_GapsFilled_consensus_sequence",0.0125611550680337,0.0199677686912251,"1","28545"
"39","29447_1_-_X83354_S92_ConsensusRound1_GapsFilled_consensus_sequence",0.0460865550905404,0.00953637394435954,"1","29447"
"40","29447_2_-_504201_S45_ConsensusRound1_GapsFilled_consensus_sequence",0.0520372295932216,0.0267271982094372,"1","29447"
"41","29447_3_-_X100748_S73_ConsensusRound1_GapsFilled_consensus_sequence",0.0062830930276456,0.00739841195100741,"1","29447"
"42","29447_4_-_504223_S67_ConsensusRound1_GapsFilled_consensus_sequence",0.0117405018681294,0.00977025731390154,"1","29447"
"43","47939_1_-_105257_S39_ConsensusRound1_GapsFilled_consensus_sequence",-0.0402270963497395,0.001469667541123,"4","47939"
"44","47939_2_-_X145656_S76_ConsensusRound1_GapsFilled_consensus_sequence",-0.0460927042077975,0.00337299777424613,"4","47939"
"45","47939_3_-_504226_S70_ConsensusRound1_GapsFilled_consensus_sequence",-0.0560718706327448,0.00768613773179652,"4","47939"
