"","sample","MDS_D1","MDS_D2","cluster","patient"
"1","12796_1.sorted_H0_2",-0.00991090314915177,0.00514579803585874,"1","12796"
"2","12796_1.sorted_H1_2",-0.00931900860853658,0.00602914249508208,"1","12796"
"3","12796_1.sorted_H2_2",-0.00710660547337586,0.00923815309931786,"1","12796"
"4","12796_2.sorted_H0_3",-0.00451991275329142,0.004261948488079,"1","12796"
"5","12796_2.sorted_H1_3",-0.00433457686630509,0.00465047401108823,"1","12796"
"6","13003_1.sorted_H0_2",0.00259228640587192,0.018938785267821,"1","13003"
"7","13003_1.sorted_H1_2",0.00457694026819597,0.0149734067567435,"1","13003"
"8","13003_1.sorted_H2_2",0.00322361044097715,0.020543799901981,"1","13003"
"9","13003_2.sorted_H0_2",0.000292107483039353,0.0184236868173766,"1","13003"
"10","13003_2.sorted_H1_2",0.000276779453962669,0.0170711240617794,"1","13003"
"11","13003_2.sorted_H2_2",-0.000452289097231005,0.0173725436697188,"1","13003"
"12","13003_3.sorted_H0_1",0.00258932999915545,0.0139136034134966,"1","13003"
"13","13003_3.sorted_H1_1",0.000754558401493881,0.0143666385815028,"1","13003"
"14","13003_3.sorted_H2_1",0.00267344057913854,0.013640044220759,"1","13003"
"15","13003_3.sorted_H3_1",0.0012036022751754,0.0142055455270517,"1","13003"
"16","15664_1.sorted_H0_2",-0.0182990482096107,0.0106730008844928,"1","15664"
"17","15664_1.sorted_H1_2",-0.018980632492218,0.0123924128528364,"1","15664"
"18","15664_1.sorted_H2_2",-0.0162169878071764,0.00873328090306754,"1","15664"
"19","15664_2.sorted_H0_2",-0.0161764088150919,0.0120056349940635,"1","15664"
"20","15664_2.sorted_H1_2",-0.0152053012670922,0.0114529562832644,"1","15664"
"21","15664_2.sorted_H2_2",-0.0169601005995072,0.0107113560165526,"1","15664"
"22","15664_2.sorted_H3_2",-0.016782098903104,0.0120372471064157,"1","15664"
"23","15664_3.sorted_H0_2",-0.0150069417818802,0.0120404932611796,"1","15664"
"24","15664_3.sorted_H1_2",-0.0156591036913816,0.0112801539419636,"1","15664"
"25","15664_3.sorted_H2_2",-0.016386987622814,0.0119364243784583,"1","15664"
"26","15664_3.sorted_H3_2",-0.018277461010651,0.0109140604459221,"1","15664"
"27","15664_4.sorted_H0_2",-0.00899517947914664,0.0122869357024905,"1","15664"
"28","15664_4.sorted_H1_2",-0.0100392442198758,0.00931651454291144,"1","15664"
"29","15664_4.sorted_H2_2",-0.00903901073501601,0.00859609529459417,"1","15664"
"30","15664_5.sorted_H0_2",-0.0151548948259219,0.0122342461031,"1","15664"
"31","15664_5.sorted_H1_2",-0.0165165605738293,0.00870885552680199,"1","15664"
"32","15664_5.sorted_H2_2",-0.016290697799576,0.0128260134173752,"1","15664"
"33","15664_5.sorted_H3_2",-0.0164705284813357,0.0107739343094866,"1","15664"
"34","15664_6.sorted_H0_1",-0.0163375986291545,0.0121765744749245,"1","15664"
"35","15664_6.sorted_H1_1",-0.0154781593480113,0.0115147524550069,"1","15664"
"36","15664_6.sorted_H2_1",-0.0161778239394305,0.0109422326782822,"1","15664"
"37","15664_6.sorted_H3_1",-0.0157878022501275,0.01139133211695,"1","15664"
"38","16207_1.sorted_H0_2",0.0069429330860383,0.0418604360066638,"1","16207"
"39","16207_1.sorted_H1_2",0.00422500640925676,0.0451536833107425,"1","16207"
"40","16207_1.sorted_H2_2",0.00508966342170816,0.0429917822355926,"1","16207"
"41","16207_1.sorted_H3_2",0.00531600713178411,0.0341674726697528,"1","16207"
"42","16207_2.sorted_H0_1",0.00582532076046161,0.0456032617037362,"1","16207"
"43","16207_2.sorted_H1_1",0.00466756091078815,0.0458820931828017,"1","16207"
"44","16207_2.sorted_H2_1",0.0052824849535229,0.0430423712473636,"1","16207"
"45","16207_2.sorted_H3_1",0.000813659727409692,0.0330955941182283,"1","16207"
"46","16207_3.sorted_H0_2",0.00629494774793786,0.040850792499452,"1","16207"
"47","16207_3.sorted_H1_2",0.00485237255887698,0.0454540402931174,"1","16207"
"48","16207_3.sorted_H2_2",0.00581507605615861,0.0425657578745298,"1","16207"
"49","16207_3.sorted_H3_2",0.0014891362162776,0.0309587908244164,"1","16207"
"50","16207_4.sorted_H0_1",0.00625626037673289,0.0437779809777959,"1","16207"
"51","16207_4.sorted_H1_1",0.00580467938543768,0.0454609565314249,"1","16207"
"52","16207_4.sorted_H2_1",0.00546528534747116,0.042660368994415,"1","16207"
"53","16207_4.sorted_H3_1",0.00620411871205181,0.0286772146799815,"1","16207"
"54","16207_5.sorted_H0_2",0.00511330707044789,0.0431725228682584,"1","16207"
"55","16207_5.sorted_H1_2",0.00514890555782822,0.0413249063795244,"1","16207"
"56","16207_5.sorted_H2_2",0.00284324952467193,0.0440931637593455,"1","16207"
"57","16207_6.sorted_H0_1",0.00654815088759624,0.0450930603521284,"1","16207"
"58","16207_6.sorted_H1_1",0.00492066950566897,0.0448855633369225,"1","16207"
"59","16207_6.sorted_H2_1",0.00529928503356024,0.0427638100480314,"1","16207"
"60","16207_6.sorted_H3_1",0.0020617709009349,0.0337345140604218,"1","16207"
"61","17339_1.sorted_H0_2",-0.00153381379240153,0.00587965494405583,"1","17339"
"62","17339_1.sorted_H1_2",-0.00166733208972393,0.00385472934041028,"1","17339"
"63","17339_1.sorted_H2_2",-0.00487238376861257,0.00413192288547952,"1","17339"
"64","17339_2.sorted_H0_2",0.0351836910087055,-0.016125176582085,"3","17339"
"65","17339_2.sorted_H1_2",0.0374922790727538,-0.0184134079620008,"3","17339"
"66","17339_2.sorted_H2_2",0.0384679911157559,-0.0158600330434524,"3","17339"
"67","17339_3.sorted_H1_2",0.034924922701252,-0.0146508672876132,"3","17339"
"68","17339_3.sorted_H2_2",0.0351524538857028,-0.0161092778191716,"3","17339"
